NUMBERS;NAME;GROUP;DESCRIPTION;STATUS
E250;Sodium nitrite;"colour retention
agent,
preservative";The E250 is synthetic food preservative. It is obtained by synthesis of sodium hydroxide with mixtures of nitrous oxide and nitric oxide. It is used to prevent bacteria and microbes. Nitrites are the sodium or potassium salts of nitrous acid, an important element of air pollution. They are also products of the degradation of nitrates in the body (stomach, saliva). Nowadays, sodium nitrite is obtained as a byproduct of the nitric acid industry. Potassium nitrite can be obtained by reducing potassium nitrate. Nitrites are probably carcinogenic to humans at the International Agency for Research on Cancer, and they are certainly carcinogenic to the Association for Therapeutic Research Against Cancer. In sensitive or exposed persons: migraines, nausea, vomiting, dizziness, gastrointestinal disorders, vasodilatory effects, hypertension, reactions to histamine, cutaneous-mucous symptoms. Its use is not allowed in products aimed at children of 6 months since they have a different type of hemoglobin, which is much more reactive than normal hemoglobin.;Doubtful, should be certified
E251;Sodium nitrate (Chile saltpetre);preservative;E251 is a synthetic food preservative. It is used to prevent bacteria and microbes. Sodium nitrate is known as nitrate from Chile or Peru because of its abundance in these countries and to distinguish it from potassium nitrate from common saltpeter. It is manufactured according to several synthetic processes, especially from nitric acid. It is widely used in agriculture as a fertilizer. In the 1800s and early 1900s, sodium nitrate was used in the manufacture of gunpowder. It is still used today in fireworks, solid rocket fuels, in wastewater treatment and as a food preservative.;Halal
E252;Potassium nitrate (Saltpetre);preservative;E252 is a synthetic food preservative. It is used to prevent bacteria and microbes. Known since the Middle Ages under the name of saltpeter, with the appearance of white and fluffy fibers, it is found among other limestone caves that harbor bats and other creatures, in ancient cellars or damp houses (bacteria fed ammonia from soil water), in the guano. Saltpeter has a long history in the manufacture of gunpowder. It is also one of the oldest meat preservatives. It reacts and produces nitrite and then nitric oxide, which transforms red myoglobin into a pink dye typical of ham, salami and canned meat in which it is injected. Nitrates and nitrites are probably classified as carcinogenic to humans at the International Agency for Research on Cancer and certainly are carcinogenic to the Association for Therapeutic Research Against Cancer. Sometimes it is thought that it may contain a mixture with pork fat (PIG FAT). It is advisable to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E260;Acetic acid (preservative);acidity regulator;Natural component of vinegar but generally manufactured from wood. Used as a preservative, acid or colour diluent.;Halal
E261(i);Potassium acetate (preservative);acidity regulator, preservative;E261 is a preservative and synthetic food acidulant. It is used to prevent bacteria and fungi. Acetates are the salts of acetic acid E260, which chemically bind to the latter with potassium, sodium, calcium, ammonia or zinc to form acetates E261 to E264 and E650. In more concentrated doses it can be corrosive to the digestive system and the bronchi.;Doubtful, should be certified
E262(i), (ii);"Sodium acetates (i)
Sodium acetate (ii) 
Sodium diacetate (sodium hydrogen acetate)";"acidity regulator,
preservative,
sequestrant";E262 is a preservative and synthetic food acidulant. It is used to prevent bacteria and fungi. The acetates are the salts of acetic acid, which are chemically bound to the latter with potassium, sodium, calcium, ammonia or zinc to form the acetates E261 to E264 and E650. In more concentrated doses it can be corrosive to the digestive system and the bronchi.;Doubtful, should be certified
E263;Calcium acetate (preservative);"acidity regulator,
preservative,
stabilizer";E263 is a preservative and synthetic food acidulant. It is used to prevent bacteria and fungi. The acetates are the salts of acetic acid, which are chemically bound to the latter with potassium, sodium, calcium, ammonia or zinc to form the acetates E261 to E264 and E650. In more concentrated doses it can be corrosive to the digestive system and the bronchi.;Doubtful, should be certified
E264;Ammonium acetate;preservative;E264 is a preservative and synthetic food acidulant. It is used to prevent bacteria and fungi. The acetates are the salts of acetic acid, which are chemically bound to the latter with potassium, sodium, calcium, ammonia or zinc to form the acetates E261 to E264 and E650. In more concentrated doses it can be corrosive to the digestive system and the bronchi.;Doubtful, should be certified
E265;Dehydroacetic acid;preservative;E265 is a synthetic food preservative. Currently (2018) very few toxicological data are available for the substance in the processed diet. Uses are reported in cut or peeled pumpkin preparations, pickles, strawberries and even other processed fruits and vegetables. Attention, strawberries, with grapes, are part of the processed diet of very harmful treated fruits. Buy these fruits in organic. The dehydroacetic acid and or its salt, sodium dehydroacetate, are also used in the parapharmacy products, in the so-called anti-enzyme toothpastes, as preservatives in cosmetics, as plasticizers for synthetic resins.;Doubtful, should be certified
E270;Lactic acid (preservative);acidity regulator;E270 is a preservative and acidulant natural or synthetic food. It is obtained naturally by extracting the sugar from the milk (lactose) or synthetically fermenting cane sugar. It is used to prevent fungi and bacteria. There are usually few or few side effects reported. The additive is not recommended for infants and young children who can not metabolize it. Sometimes it is believed that it can contaminate a mixture with pork fat (PIG FAT). He agrees to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E280;Propionic acid;preservative;E280 is a natural or synthetic food preservative. It is obtained naturally by fermentation of wood pulp or synthetically by oxidation of Propanal. According to the sources consulted, propionic acid is harmless or doubtful if it is not toxic. In fact, it is sometimes reported as a controversial additive. In particular, it has been banned in Germany (and subsequently reintroduced by the European Union). Too much propanoic acid may be the cause of some cases of regressive autism. Injected into the brain of rats, it causes reversible neurological disorders, such as tics, hyperactivity and instability. Sometimes it is thought that it may contain a mixture with pork fat (PIG FAT). It is advisable to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E281;Sodium propionate;preservative;E281 is a synthetic food preservative. Obitene derived from Propionic Acid (E280). Propionic acid is a clear liquid with the unpleasant odor characteristic of sweat. Bacteria in the sebaceous or sweat glands produce propionic acid. Too much propanoic acid may be the cause of some cases of regressive autism. Injected into the brain of rats, it causes reversible neurological disorders, such as tics, hyperactivity and instability. Sometimes it is believed that it may contain a mixture with pork fat (PIG FAT). It is advisable to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E282;Calcium propionate;preservative;Salt of propionic acid. Found naturally in Swiss cheese. E282 is a synthetic food preservative. Obitene derived from Propionic Acid (E280). Propionic acid is a clear liquid with the unpleasant odor characteristic of sweat. Bacteria in the sebaceous or sweat glands produce propionic acid. Too much propanoic acid may be the cause of some cases of regressive autism. Injected into the brain of rats, it causes reversible neurological disorders, as tics, hyperactivity and instability. Sometimes it is thought that it may come from animal bones. It is advisable to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E283;Potassium propionate;preservative;E283 is a synthetic food preservative. Obitene derived from Propionic Acid (E280). Propionic acid is a clear liquid with the unpleasant odor characteristic of sweat. Bacteria in the sebaceous or sweat glands produce propionic acid. Too much propanoic acid may be the cause of some cases of regressive autism. Injected into the brain of rats, it causes reversible neurological disorders, as tics, hyperactivity and instability.;Doubtful, should be certified
E284;Boric acid;preservative;E284 is a synthetic food preservative. Substance manufactured by treatment of borax (sodium borate and E285) with a strong mineral acid such as hydrochloric or sulfuric acid. In the United States, boric acid is manufactured mainly from sodium borate minerals, while in Europe it is made from colemanite (a borate mineral hydrated with calcium) imported from Turkey. The substance is reprotoxic (it is harmful to fertility and to the fetus, it is also found in breast milk in humans), probably carcinogenic, mutagenic and teratogenic in animals and is suspected in humans. The use in the form of lotions and powders would have caused serious poisonings and deaths.;Halal
E285;Sodium tetraborate (borax);preservative;E285 is a synthetic food preservative. Substance manufactured by borax treatment with a strong mineral acid such as hydrochloric or sulfuric acid. In the United States, boric acid is manufactured mainly from sodium borate minerals, while in Europe it is made from colemanite (a borate mineral hydrated with calcium) imported from Turkey. The substance is reprotoxic (it is harmful to fertility and to the fetus, it is also found in breast milk in humans), probably carcinogenic, mutagenic and teratogenic in animals and is suspected in humans. The use in the form of lotions and powders would have caused serious poisonings and deaths.  According to the World Health Organization (WHO) is unacceptable as a food additive although it is still used by some manufacturers. The boric ions oppose the synthesis of glutamine in the brain. In recent studies, its high consumption over a period of 5 to 10 years caused liver cancer in humans.;Halal
E290;Carbon dioxide;acidity regulator;The E290 is a packaging gas, propellant and acidulant. E290 is a colorless and odorless gas, specially formed in the body and necessary in the breathing cycle of plants and animals. There would be little or no information on the manufacture of carbon dioxide for food purposes, it could be manufactured by fermentation. Otherwise, carbon dioxide can be obtained as a byproduct of many industrial processes: the synthetic production of ammonia, hydrogen, the production of natural gas substitution, fermentation and calcination of limestone. Most of the sources consulted do not report known side effects in the diet, but could slow digestion to avoid if possible.;Halal
E296;Malic acid (acid), DL;"acidity regulator,
sequestrant";E296 is a natural or synthetic food acidulant. Malic acid is very widespread in the vegetable kingdom and is present naturally in apples, pears and grape juice in particular. The human body produces some too. In large doses it can cause digestive problems in children and infants since they lack the ability to metabolize malic acid. Therefore, it is not allowed to add high concentrations in foods for children.;Doubtful, should be certified
E297;Fumaric acid;acidity regulator;E297 is a natural or synthetic food acidulant. Natural or synthetic acid. It is obtained naturally by fermentation of sugar with fungi or synthetically by catalytic isomerization of Maleic Acid. It is also used to prevent microbes. The sources consulted report an innocuous additive.;Doubtful, should be certified
E300;Ascorbic acid (Vitamin C), L-;acidity regulator,;E300 is a natural or synthetic food antioxidant. Ascorbic acid exists in 4 forms of which only one is vitamin C: L-ascorbic acid. The other forms are D-ascorbic acid, D-isoascorbic acid (E315) and L-isoascorbic acid. These forms have little or no vitamin value, and potentially toxic in high doses. DL-ascorbic acid is also produced and distributed frequently in pharmacies such as vitamin C. The commercial version of L-ascorbic acid is not extracted naturally from carrier foods (fruits, vegetables), but is biosynthesized by the bacteriological fermentation of D-glucose, from which genetic engineering is found, among others. , possible.  The sources consulted report shared but positive results in general:  there would be no disadvantages in moderate doses according to some sources, while for others, L-ascorbic acid is harmless or harmless in high doses. Who has healing purposes .;Doubtful, should be certified
E301;Sodium ascorbate;antioxidant;E301 is a natural or synthetic food antioxidant. Ascorbates are the salts of ascorbic acid. A bond with sodium allows the manufacture of sodium ascorbates E301. No side effects have been found.;Doubtful, should be certified
E302;Calcium ascorbate;antioxidant;E302 is a synthetic food antioxidant. Ascorbates are the salts of ascorbic acid. A calcium bond allows the manufacture of calcium ascorbate E302. No side effects have been found. Sometimes it is believed that the calcium that binds can come from Bones. But sometimes it can come from a mineral form. For this reason it is Mushbooh.;Doubtful, should be certified
E303;Potassium ascorbate;antioxidant;E303 is a synthetic food antioxidant. Ascorbates are the salts of ascorbic acid. A link with potassium allows to manufacture potassium ascorbates E303. It is used in meat products to prevent the formation of nitrosamines and in other products. No side effects have been found.;Halal
E304;Fatty acid esters of ascorbic acid (Ascorbyl palmitate);antioxidant;E304 is a synthetic food antioxidant. Palmitoate and ascorbyl stearate are esters of L-ascorbic acid (Vit C) made with palmitic acid and stearic acid, respectively. They are reported as a fat-soluble form of vitamin C. There are different ways of making these ascorbyls, mostly if not completely by biosynthesis, from which a transgenic application seems possible. It is used in meat products to prevent the formation of nitrosamines and in other products. No side effects have been found. Most of the sources consulted do not report any danger. Sometimes palmitic acid is obtained from plants, in this case it is Halal. But sometimes it is obtained from pork fat, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E306;Tocopherols (Vitamin E, natural);antioxidant;E306 is a natural antioxidant food. Tocopherols are, along with tocotrienols, the isomeric constituents of vitamin E, and they are eight in number. It is obtained from sources such as wheat germ, sunflower and safflower oil. The dominant and most effective constituent is alpha-tocopherol, and is often referred to as vitamin E or tocopherol. Now it is known that the activity of the vitamin and the antioxidant is not limited to alpha-tocopherol alone. Being insoluble in water, it is only used in fatty foods. It is used to prevent the oxidative degradation of lipids. The E306 is harmless according to the vast majority of sources consulted. Sometimes tocopherols is obtained from plants, in this case it is Halal. But sometimes it is obtained from pork fat, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E307a, b, c;"- tocopherols, d-alpha-Tocopherol (307a)
- tocopherol concentrate, mixed (307b)
- dl-alpha-Tocopherol (307c)";antioxidant;E307 is a synthetic food antioxidant. Tocopherols are, along with tocotrienols, the isomeric constituents of vitamin E, and they are eight in number. It is obtained from sources such as wheat germ, sunflower and safflower oil. The dominant and most effective constituent is alpha-tocopherol, and is often referred to as vitamin E or tocopherol. Now it is known that the activity of the vitamin and the antioxidant is not limited to alpha-tocopherol alone. Being insoluble in water, it is only used in fatty foods. It is used to prevent the oxidative degradation of lipids. The E307 is harmless according to the vast majority of sources consulted. The E307 is a synthetic additive, sometimes the synthetic materials used are halal, in this case it is Halal. But sometimes methods of fermentation with alcohol are used, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E308;Gamma-Tocopherol (synthetic);antioxidant;E308 is a synthetic food antioxidant. Tocopherols are, along with tocotrienols, the isomeric constituents of vitamin E, and they are eight in number. It is obtained from sources such as wheat germ, sunflower and safflower oil. The dominant and most effective constituent is alpha-tocopherol, and is often referred to as vitamin E or tocopherol. Now it is known that the activity of the vitamin and the antioxidant is not limited to alpha-tocopherol alone. Being insoluble in water, it is only used in fatty foods. It is used to prevent the oxidative degradation of lipids.    The E308 is a synthetic additive, sometimes the synthetic materials used are halal, in this case it is Halal. But sometimes methods of fermentation with alcohol are used, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E309;Delta-Tocopherol (synthetic);antioxidant;E309 is a synthetic food antioxidant. Tocopherols are, along with tocotrienols, the isomeric constituents of vitamin E, and they are eight in number. It is obtained from sources such as wheat germ, sunflower and safflower oil. The dominant and most effective constituent is alpha-tocopherol, and is often referred to as vitamin E or tocopherol. Now it is known that the activity of the vitamin and the antioxidant is not limited to alpha-tocopherol alone. Being insoluble in water, it is only used in fatty foods. It is used to prevent the oxidative degradation of lipids. The E309 is harmless according to the vast majority of sources consulted. The E309 is a synthetic additive, sometimes the synthetic materials used are halal, in this case it is Halal. But sometimes methods of fermentation with alcohol are used, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E310;Propyl gallate;antioxidant;E310 is a synthetic food antioxidant. The E310 is sensitive to heat so it is not used in baked, fried or high temperature products. It is used to prevent the oxidative degradation of lipids. E310 is a synthetic product, ester formed by condensation of gallic acid (it exists naturally in some plants) and propanol (chemical alcohol derived from propane gas). It would further degrade in the intestine to propanol and gallic acid. In large doses it causes hyperactivity, asthma, urticaria, insomnia, digestive problems, liver and kidney infection, lymphomas and various allergic reactions. The E310 that contain traces of organochlorine substances, possible carcinogenic effect.;Halal
E311;Octyl gallate;antioxidant;E311 is a synthetic food antioxidant. The E311 is sensitive to heat so it is not used in baked, fried or high temperature products. It is used to prevent the oxidative degradation of lipids. E311 is a synthetic product, ester formed by condensation of gallic acid (exists naturally in some plants) and octanol (chemical alcohol derived from octanol gas). It would further degrade in the intestine to octanol and gallic acid. In large doses it causes hyperactivity, asthma, urticaria, insomnia, digestive problems, liver and kidney infection, lymphomas and various allergic reactions.;Doubtful, should be certified
E312;Dodecyl gallate;antioxidant;E312 is a synthetic food antioxidant. The E312 is sensitive to heat so it is not used in baked, fried or high temperature products. It is used to prevent the oxidative degradation of lipids. E311 is a synthetic product, ester formed by condensation of gallic acid (it exists naturally in some plants) and dodecanol (chemical alcohol derived from dodecanol gas). It would further degrade in the intestine to dodecanol and gallic acid. In large doses it causes hyperactivity, asthma, urticaria, insomnia, digestive problems, liver and kidney infection, lymphomas and various allergic reactions. Alcohol is sometimes used as a solvent, in this case it is Haram. Sometimes Halal solvents are used. For this reason it is Mushbooh.;Doubtful, should be certified
E313;Ethyl gallate;antioxidant;E313 is a synthetic food antioxidant. The E313 is sensitive to heat so it is not used in baked, fried or high temperature products. It is used to prevent the oxidative degradation of lipids. E313 is a synthetic product, ester formed by condensation of gallic acid (it exists naturally in some plants) and ethanol (pure alcohol). Ethyl gallate occurs naturally in a variety of plant sources. In large doses it causes hyperactivity, asthma, urticaria, insomnia, digestive problems, liver and kidney infection, lymphomas and various allergic reactions. Alcohol is sometimes used as a solvent, in this case it is Haram. Sometimes Halal solvents are used. For this reason it is Mushbooh.;Doubtful, should be certified
E314;Guaiac resin;antioxidant;E314 is a natural food antioxidant. The guaiacum resin (or gum) is extracted from the trees Guaiacum officinale and Guaiacum santum that originate in the tropical and subtropical regions of the Americas. The name rubber gum is sometimes used in place of guaiac resin. Its constituents are approximately 70% alpha and beta-guaiaconic acids, approximately 11% guaiac acid, related components and gaiarético acid, 15% vanillin, guaiacan yellow and guaiacan saponin (guaiacum). There would be no known side effects in the proportions used. Some allergies have been reported. In the United States, the additive is classified as GRAS level 1. However, it is excluded from the organic diet of the United States.;Halal
E315;Erythorbic acid;antioxidant;E315 is a synthetic food antioxidant. The E315 is synthetic of chemical formula identical to vitamin C (L-ascorbic acid), but with a different spatial configuration, it is only a stereoisomer or little biocompatible, which fulfills an antioxidant function but only 1 20 of the function of the vitamin. Its synthesis is simpler and cheaper than that of ascorbic acid. There are no known side effects to date, in the concentrations used or in doses lower than the acceptable daily intake. Daily intake: Up to 6 mg kg of body weight.;Halal
E316;Sodium erythorbate;antioxidant;E316 is a synthetic food antioxidant. The E316 is obtained derived from the Erythorbic Acid (E315). It is used in meat products to prevent the formation of nitrosamines and in other products. Eritorbates are the salts of erythorbic acid. A union with sodium leads to the manufacture of Erytrorbatos of sodium E316. There are no known side effects to date.;Halal
E319;tert-Butylhydroquinone (TBHQ);antioxidant;E319 is a synthetic food antioxidant. It is used to prevent the oxidation of fats. TBHQ is a synthetic derivative of hydroquinone and a member of the phenol family. Hydroquinones are one of the two main reagents in the defensive glands of Bombardier beetles. It is also believed to be the active toxin of the fungus Agaricus hondensis. Cytotoxic, genotoxic, mutagenic and carcinogenic potentials are not excluded. Precursor of stomach tumors in animals. Although it is clearly presented as an additive to avoid according to some sources, the official position is that the doses used in the processed diet are not a cause for concern. Behavioral and or hyperactivity disorders are also reported in children. It is not recommended in children and pregnant women The TBHQ is sometimes mixed with animal fat (most likely with pork fat), in this case it is Haram. But sometimes the mixture is made with vegetable oil, in this case it is Halal. For this reason it is Mushbooh.;Doubtful, should be certified
E320;Butylated hydroxyanisole (BHA);antioxidant;Antioxidant manufactured synthetically for use alone or with E280, E310, or E330. E320 is a synthetic food antioxidant. It is used to prevent the oxidation of fats. BHA is a synthetic product, producible by alkylation of 4-hydroxyanisole with isobutylene (syn .: Isobutene, a hydrocarbon derivative of isobutane). BHA is strongly suspected of being carcinogenic Other side effects reported: Alteration of digestive enzyme synthesis in the liver Increase in cholesterol and blood lipids, cumulative risk. Suspected hyperactivity in children. li ul The BHA is sometimes mixed with animal fat (most likely with pork fat), in this case it is Haram. But sometimes the mixture is made with vegetable oil, in this case it is Halal. For this reason it is Mushbooh.;Doubtful, should be certified
E321;Butylated hydroxytoluene (BHT);antioxidant;E321 is a synthetic food antioxidant. It is used to prevent the oxidation of fats. BHT is a synthetic product produced by the alkylation of para-cresol with isobutylene (syn .: Isobutene, a hydrocarbon derivative of isobutane) BHT is strongly suspected of being carcinogenic Other side effects reported: ul    li Causes mutagenic effects, alters the blood composition. Increase in cholesterol and blood lipids, cumulative risk related to behavioral disorders (care for children) li ul The BHT is sometimes mixed with animal fat (most likely with pork fat), in this case it is Haram. But sometimes the mixture is made with vegetable oil, in this case it is Halal. For this reason it is Mushbooh.;Doubtful, should be certified
E322(i), (ii);"- lecithin(i)
- lecithin, partially hydrolysed(ii)";"antioxidant, 
emulsifier";E322 is a natural food emulsifier. Natural lecithin is present in all living cells and it is an important component of nerve and brain cells. Commercial lecithin comes mainly from soybean oil, which can be genetically modified. Other sources are egg yolks and legume seeds, including peanuts and corn, which can also be transgenic. It is used to mix water and oil fat. Lecithins are often presented as non-toxic. Overdose can disturb the stomach, affect appetite and cause sweating intense;Doubtful, should be certified
E323;Anoxomer;antioxidant;E323 is a synthetic food antioxidant. Synthetic substance and non-digestible polymeric antioxidant. It would have been designed to allow the introduction of antioxidants non-absorbable to avoid the potential health risks associated with your digestion. The anoxomer should be used as an antioxidant at a level not to exceed 0.5% of the fat and oil content of the food. According to her, A dose of oral anoxomer can be absorbed up to 0.2% in humans. There is not much information about this additive.;Doubtful, should be certified
E324;Ethoxyquin;antioxidant;E324 is a synthetic food antioxidant. Synthetic chemical, antioxidant and pesticide of the family of quinoline or quinoline, a light yellow to brown liquid with an unpleasant smell of sulphurous chemical compound or smell ball . Quinoline can be described schematically as a form of soldering of a benzene molecule and a pyridine molecule. Quinoline is also present naturally in the rutáceas (family of plants) that grow in South America, as well as, very rarely in the animal world, in certain stick insects such as the Peruvian Oreophoetes, which secretes, if altered, a rich white liquid. In quinoline by two glands located in the prothorax. To avoid. Suspected mutagen, possibility of liver assignment, The first target organs affected in guinea pigs are the liver and kidneys.;Doubtful, should be certified
E325;Sodium lactate;"acidity regulator,
antioxidant,
bulking agent,
emulsifier,
emulsifying salt,
humectant,
thickener";E325 is a synthetic antioxidant and acidity regulator. Obtained a derivative of lactic acid (E270), where it is extracted from the milk sugar (lactose) or synthetically fermenting sugar cane. It is used to prevent fungi and bacteria. Lactates are the salts of lactic acid. The latter is chemically bound with sodium to form E325 sodium lactates. There are contradictory reports. Some discourage this additive for pregnant or lactating women and for young children who are allergic to milk, while others consider it harmless. Sometimes it is believed that it can contaminate a mixture with pork fat (PIG FAT). He agrees to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E326;Potassium lactate (antioxidant);"acidity regulator,
antioxidant,
emulsifier,
humectant";E326 is a synthetic antioxidant and acidity regulator. Obtained a derivative of lactic acid (E270), where it is extracted from the milk sugar (lactose) or synthetically fermenting sugar cane. It is used to prevent fungi and bacteria. Lactates are the salts of lactic acid. The latter is chemically bound with potassium to form potassium lactates E326. There are contradictory reports. Some discourage this additive for pregnant or lactating women and for young children who are allergic to milk, while others consider it harmless. Sometimes it is believed that it can contaminate a mixture with pork fat (PIG FAT). He agrees to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E327;Calcium lactate;"acidity regulator,
emulsifying salt,
firming agent,
flour treatment
agent, thickener";E327 is a synthetic antioxidant and acidity regulator. Obtained a derivative of lactic acid (E270), where it is extracted from the milk sugar (lactose) or synthetically fermenting sugar cane. It is used to prevent fungi and bacteria. Lactates are the salts of lactic acid. The latter is chemically bound with calcium to form calcium lactates E327. There are contradictory reports. Some discourage this additive for pregnant or lactating women and for young children who are allergic to milk, while others consider it harmless. Sometimes it is believed that it can contaminate a mixture with pork fat (PIG FAT). He agrees to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E328;Ammonium lactate;acidity regulator;E328 is a synthetic antioxidant and acidity regulator. Obtained a derivative of lactic acid (E270), where it is extracted from the milk sugar (lactose) or synthetically fermenting sugar cane. It is used to prevent fungi and bacteria. Lactates are the salts of lactic acid. The latter is chemically bound with ammonium to form ammonium lactates E328. There are contradictory reports. Some discourage this additive for pregnant or lactating women and for young children who are allergic to milk, while others consider it harmless. Sometimes it is believed that it can contaminate a mixture with pork fat (PIG FAT). He agrees to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E329;Magnesium lactate;acidity regulator;E329 is a synthetic antioxidant and acidity regulator. Obtained a derivative of lactic acid (E270), where it is extracted from the milk sugar (lactose) or synthetically fermenting sugar cane. It is used to prevent fungi and bacteria. Lactates are the salts of lactic acid. The latter is chemically bound with magnesium to form magnesium lactates E329. There are contradictory reports. Some discourage this additive for pregnant or lactating women and for young children who are allergic to milk, while others consider it harmless. Sometimes it is believed that it can contaminate a mixture with pork fat (PIG FAT). He agrees to avoid it. For this reason it is Mushbooh.;Doubtful, should be certified
E330;Citric acid;acid, acidity regulator;Natural citric acid (E330) plays a central role in the metabolism of virtually all living organisms and takes its name from the lemon, where it is present in large quantities. Today, the main commercial route of the production of citric acid is the culture of Aspergillus niger, fed with a substrate that contains sugar. This microorganism can be transgenic to increase the yield. The source of the sugar is macerated corn liquor, molasses, hydrolyzed corn starch or other low-cost sweet solutions. Citric acid can also be obtained from a more expensive method using products derived from pineapple. Citric acid is often presented as harmless, except that it can attack tooth enamel, aphthosis, allergies pseudo-allergies and other problems in a sensitive person, in high doses or in regular consumption.;Halal
E331(i), (iii);Sodium citrates (i) Monosodium citrate (ii) Disodium citrate (iii) Sodium citrate (trisodium citrate);"acidity regulator,
emulsifier,
emulsifying salt,
sequestrant,
stabilizer";E331 is a synthetic food antioxidant. Citrates are the salts of citric acid: a bond with sodium citrates of E331 sodium. Citric acid is often presented as harmless, except that it can attack tooth enamel, aphthosis, allergies pseudo-allergies and other problems in a sensitive person, in high doses or in regular consumption.;Doubtful, should be certified
E332(i), (ii);Potassium citrates (i) Monopotassium citrate (ii) Potassium citrate (tripotassium citrate);"acidity regulator,
emulsifying salt,
sequestrant,
stabilizer";E332 is a synthetic food antioxidant. Citrates are the salts of citric acid: a bond with potassium that produces potassium E332 citrates. Citric acid is often presented as harmless, except that it can attack tooth enamel, aphtosis, allergies pseudo-allergies and other problems in a sensitive person, in high doses or in regular consumption.;Doubtful, should be certified
E333(iii);Calcium citrates (i) Monocalcium citrate (ii) Dicalcium citrate (iii) Calcium citrate (tricalcium citrate);"acidity regulator,
emulsifying salt,
firming agent,
sequestrant,
stabilizer";E333 is a synthetic food antioxidant. Citrates are the salts of citric acid: a bond with calcium that produces citrates of E333 calcium. Citric acid is often presented as harmless, except that it can attack tooth enamel, aphthosis, allergies pseudo-allergies and other problems in a sensitive person, in high doses or in regular consumption. Sometimes it can come from animal bone, in this case it would be Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E334;Tartaric acid (L(+)-);"acidity regulator,
antioxidant,
flavour enhancer,
sequestrant";E334 is a natural acidifier, antioxidant and regulator of food acidity. It is obtained from the fermentation of some fruits such as grapes, tamarinds and certain kinds of berries. During the storage of the wine, a background of tartaric acid forms after a certain time in the barrels and in the bottles. Many sources do not report side effects. The European Union generally authorizes it without a dose limit in canned fruits and vegetables, jams, cocoa and chocolate products, fresh pastes, sweetener tablets, as well as biscuits, biscuits and baby food. Sometimes The E334 can come from fruits like grapes, in this case it is Halal. But sometimes in some countries it is made from the deposit in the wooden barrel of the wine, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E335(ii);Sodium tartrates (i) Monosodium tartrate (ii), Disodium tartrate;"acidity regulator,
emulsifying salt,
sequestrant,
stabilizer";E335 is a natural acidifier, antioxidant and regulator of food acidity. It is obtained derived from the salt of Tartaric Acid (E334). Many sources do not report side effects. The European Union generally authorizes it without a dose limit in canned fruits and vegetables, jams, cocoa and chocolate products, fresh pastes, sweetener tablets, as well as biscuits, biscuits and baby food. Sometimes The E335 can come from fruits like grapes, in this case it is Halal. But sometimes in some countries it is made from the deposit in the wooden barrel of the wine, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E336;Potassium tartrates (i) Monopotassium tartrate (cream of tartar) (ii) Dipotassium tartrate;"acidity regulator,
emulsifying salt,
sequestrant,
stabilizer";E336 is a natural acidifier, antioxidant and regulator of food acidity. It is obtained derived from the salt of Tartaric Acid (E334). Tartars are salts of tartaric acid, a link with potassium allows to obtain potassium tartrate E336. Many sources do not report side effects. The European Union generally authorizes it without a dose limit in canned fruits and vegetables, jams, cocoa and chocolate products, fresh pastes, sweetener tablets, as well as biscuits, biscuits and baby food. Sometimes The E336 can come from fruits like grapes, in this case it is Halal. But sometimes in some countries it is made from the deposit in the wooden barrel of the wine, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
E337;Sodium potassium tartrate;"acidity regulator,
emulsifying salt,
sequestrant,
stabilizer";E337 is a natural acidifier, antioxidant and regulator of food acidity. It is obtained derived from the salt of Tartaric Acid (E334). The Tartars are the salts of tartaric acid, a link with sodium and potassium it allows to obtain the sodium and potassium tartrate E337. Many sources do not report side effects. The European Union generally authorizes it without a dose limit in canned fruits and vegetables, jams, cocoa and chocolate products, fresh pastes, sweetener tablets, as well as biscuits, biscuits and baby food. Sometimes E337 can come from fruits like grapes, in this case it is Halal. But sometimes in some countries it is made from the deposit in the wooden barrel of the wine, in this case it is Haram. For this reason it is Mushbooh.;Doubtful, should be certified
